Year,Office,District,Candidate|Party,Votes,Pct
2022,County Attorney,State House 43B (Hennepin),Martha Holton Dimick|NP,7375,43.85
2022,County Attorney,State House 43B (Hennepin),WRITE-IN|WI,103,0.61
2022,County Commissioner District 2,State House 43B (Hennepin),Irene Fernando|NP,8502,98.81
2022,County Commissioner District 2,State House 43B (Hennepin),WRITE-IN|WI,102,1.19
2022,State Representative District 43B,State House 43B (Hennepin),Mike Freiberg|DFL,17141,97.53
2022,State Representative District 43B,State House 43B (Hennepin),WRITE-IN|WI,434,2.47
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Jacob Frey|N P,61817,41.7
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Omar Fateh|N P,46862,31.61
2025,Mayor First Choice (Minneapolis),Hennepin County (all),DeWayne Davis|N P,20576,13.88
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Jazz Hampton|N P,15434,10.41
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Laverne Turner|N P,808,0.55
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Brenda Short|N P,775,0.52
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Charlie McCloud|N P,476,0.32
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Andrea Revel|N P,382,0.26
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Kevin Dwire|N P,300,0.2
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Alejandro Richardson|N P,205,0.14
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Kevin Ward|N P,171,0.12
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Jeffrey Alan Wagner|N P,129,0.09
2025,Mayor First Choice (Minneapolis),Hennepin County (all),WRITE-IN|WI,113,0.08
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Xavier Pauke|N P,94,0.06
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Troy A. Peterson|N P,53,0.04
2025,Mayor First Choice (Minneapolis),Hennepin County (all),Adam Terzich|N P,53,0.04
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Jacob Frey|N P,12856,41.99
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Omar Fateh|N P,9509,31.06
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,DeWayne Davis|N P,4194,13.7
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Jazz Hampton|N P,2914,9.52
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Laverne Turner|N P,271,0.89
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Brenda Short|N P,243,0.79
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Charlie McCloud|N P,136,0.44
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Andrea Revel|N P,120,0.39
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Kevin Dwire|N P,104,0.34
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Kevin Ward|N P,74,0.24
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Alejandro Richardson|N P,64,0.21
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,WRITE-IN|WI,36,0.12
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Jeffrey Alan Wagner|N P,35,0.11
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Xavier Pauke|N P,25,0.08
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Troy A. Peterson|N P,18,0.06
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 2,Adam Terzich|N P,15,0.05
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Jacob Frey|N P,26650,48.06
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Omar Fateh|N P,15157,27.33
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,DeWayne Davis|N P,6575,11.86
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Jazz Hampton|N P,6069,10.94
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Brenda Short|N P,217,0.39
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Laverne Turner|N P,215,0.39
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Charlie McCloud|N P,143,0.26
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Andrea Revel|N P,125,0.23
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Kevin Dwire|N P,99,0.18
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Alejandro Richardson|N P,54,0.1
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Kevin Ward|N P,42,0.08
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,WRITE-IN|WI,32,0.06
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Jeffrey Alan Wagner|N P,30,0.05
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Xavier Pauke|N P,17,0.03
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Troy A. Peterson|N P,17,0.03
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 3,Adam Terzich|N P,14,0.03
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Omar Fateh|N P,21742,36.85
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Jacob Frey|N P,20496,34.74
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,DeWayne Davis|N P,9407,15.94
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Jazz Hampton|N P,5997,10.16
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Laverne Turner|N P,309,0.52
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Brenda Short|N P,307,0.52
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Charlie McCloud|N P,187,0.32
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Andrea Revel|N P,126,0.21
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Kevin Dwire|N P,96,0.16
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Alejandro Richardson|N P,82,0.14
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Jeffrey Alan Wagner|N P,64,0.11
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Kevin Ward|N P,51,0.09
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Xavier Pauke|N P,50,0.08
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,WRITE-IN|WI,42,0.07
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Adam Terzich|N P,23,0.04
2025,Mayor First Choice (Minneapolis),Hennepin County Commission District 4,Troy A. Peterson|N P,18,0.03
