Ward,Candidate|Party,Votes,Pct,WardTotal
12,Alejandro Richardson|NP,21,0.12,17106
12,Jeffrey Alan Wagner|NP,17,0.1,17106
12,Kevin Ward|NP,17,0.1,17106
12,WRITE-IN|WI,16,0.09,17106
12,Xavier Pauke|NP,14,0.08,17106
12,Adam Terzich|NP,9,0.05,17106
12,Troy A. Peterson|NP,7,0.04,17106
13,Jacob Frey|NP,10451,61.77,16918
13,Jazz Hampton|NP,2295,13.57,16918
13,Omar Fateh|NP,2080,12.29,16918
13,DeWayne Davis|NP,1860,10.99,16918
13,Laverne Turner|NP,53,0.31,16918
13,Charlie McCloud|NP,41,0.24,16918
13,Andrea Revel|NP,39,0.23,16918
13,Brenda Short|NP,37,0.22,16918
13,Kevin Dwire|NP,14,0.08,16918
13,Alejandro Richardson|NP,14,0.08,16918
13,WRITE-IN|WI,11,0.07,16918
13,Kevin Ward|NP,8,0.05,16918
13,Jeffrey Alan Wagner|NP,6,0.04,16918
13,Xavier Pauke|NP,4,0.02,16918
13,Adam Terzich|NP,3,0.02,16918
13,Troy A. Peterson|NP,2,0.01,16918
